Name of Location,Address of Location,City,State,Zip,Website,Phone Number,Distance (miles),Rating
Campbell-D'hue Gloria MD,"2950 Stone Hogan Connector Rd SW, Atlanta, GA 30331",Atlanta,GA,30331,https://www.yelp.com/biz/campbell-d-hue-gloria-md-atlanta-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043497440,8.21,2.0
Atlanta Center of Dermatology & Medispa PC,"2950 Stone Hogan Connector Rd SW, Atlanta, GA 30331",Atlanta,GA,30331,https://www.yelp.com/biz/atlanta-center-of-dermatology-and-medispa-pc-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043497440,8.34,2.8
Ponce Primary Care,"315 W Ponce De Leon Ave, Ste 110, Decatur, GA 30030",Decatur,GA,30030,https://www.yelp.com/biz/ponce-primary-care-decatur?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14045372521,8.4,3.9
Fabu Face Spa,"805 Church St, Decatur, GA 30030",Decatur,GA,30030,https://www.yelp.com/biz/fabu-face-spa-decatur?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043776363,8.72,4.6
Urgent Team - Austell,"1025 E-W Connector, Austell, GA 30106",Austell,GA,30106,https://www.yelp.com/biz/urgent-team-austell-austell?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16782733071,9.14,0.0
Atlanta Laser & Dermatology,"Decatur, GA 30033",Decatur,GA,30033,https://www.yelp.com/biz/atlanta-laser-and-dermatology-decatur?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14046440954,9.16,0.0
Dermatology Specialists of Atlanta,"1670 Scott Blvd, Ste 202, Decatur, GA 30030",Decatur,GA,30030,https://www.yelp.com/biz/dermatology-specialists-of-atlanta-decatur?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16789044932,9.25,1.6
Dermatology Associates,"2665 N Decatur Rd, Ste 650, Decatur, GA 30033",Decatur,GA,30033,https://www.yelp.com/biz/dermatology-associates-decatur?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14045080566,9.34,2.5
"Russell Harris, MD","875 Johnson Ferry Rd NE, Ste 180, Atlanta, GA 30342",Atlanta,GA,30342,https://www.yelp.com/biz/russell-harris-md-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042579933,9.53,4.0
MetroDerm - Sandy Springs,"875 Johnson Ferry Rd NE, Ste 300, Atlanta, GA 30342",Atlanta,GA,30342,https://www.yelp.com/biz/metroderm-sandy-springs-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042579933,9.54,3.3
Perimeter Dermatology,"5505 Peachtree Dunwoody Rd, Ste 412, Atlanta, GA 30342",Atlanta,GA,30342,https://www.yelp.com/biz/perimeter-dermatology-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14044599177,9.61,3.4
Dermani Medspa,"5950 Roswell Rd, Sandy Springs, GA 30328",Sandy Springs,GA,30328,https://www.yelp.com/biz/dermani-medspa-sandy-springs?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17702122242,9.66,3.9
Southeast Dermatology Specialists,"5555 Peachtree Dunwoody Rd NE, Ste 281, Atlanta, GA 30342",Atlanta,GA,30342,https://www.yelp.com/biz/southeast-dermatology-specialists-atlanta-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14707633376,9.7,1.0
Baucom & Mina Derm Surgery - Atlanta,"5555 Peachtree-Dunwoody Rd, Ste 206, Atlanta, GA 30342",Atlanta,GA,30342,https://www.yelp.com/biz/baucom-and-mina-derm-surgery-atlanta-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048440496,9.71,4.0
Dermatology Associates of Atlanta,"5555 Peachtree Dunwoody Rd NE, Ste 190, Atlanta, GA 30342",Atlanta,GA,30342,https://www.yelp.com/biz/dermatology-associates-of-atlanta-atlanta-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042564457,9.73,2.9
"D. Scott Karempelis, M.D.","5555 Peachtree Dunwoody Rd NE, Ste 190, Atlanta, GA 30342",Atlanta,GA,30342,https://www.yelp.com/biz/d-scott-karempelis-m-d-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042564457,9.74,4.0
Prestige Healthcare OBGYN,"3886 Princeton Lakes Way, Ste 280, Atlanta, GA 30331",Atlanta,GA,30331,https://www.yelp.com/biz/prestige-healthcare-obgyn-atlanta-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14705580658,9.84,2.7
Atlanta Skin and Aesthetics,"5671 Peachtree Dunwoody Rd, Ste 660, Peachtree Dunwoody Dermatology, Atlanta, GA 30342",Atlanta,GA,30342,https://www.yelp.com/biz/atlanta-skin-and-aesthetics-atlanta-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042524110,9.97,3.3
Atlanta West Dermatology PC,"1550 Mulkey Rd, Austell, GA 30106",Austell,GA,30106,https://www.yelp.com/biz/atlanta-west-dermatology-pc-austell?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17707321137,10.01,2.4
Atlanta Center For Dermatologic Diseases,"5673 Peachtree Dunwoody Rd, Ste 850, Sandy Springs, GA 30342",Sandy Springs,GA,30342,https://www.yelp.com/biz/atlanta-center-for-dermatologic-diseases-atlanta-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042524333,10.01,2.8
"Peter J Abramson, MD","5673 Peachtre Dnwdy Rd NE, Atlanta, GA 30342",Atlanta,GA,30342,https://www.yelp.com/biz/peter-j-abramson-md-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042971789,10.04,5.0
"Shereen Timani, MD - Springs Dermatology MD","6400 Blue Stone Rd, Ste 150, Sandy Springs, GA 30328",Sandy Springs,GA,30328,https://www.yelp.com/biz/shereen-timani-md-springs-dermatology-md-sandy-springs?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14707699400,10.1,0.0
Springs Dermatology,"6400 Blue Stone Rd, Ste 150, Sandy Springs, GA 30328",Sandy Springs,GA,30328,https://www.yelp.com/biz/springs-dermatology-sandy-springs?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14707699400,10.1,1.0
Springs Hair Restoration,"6400 Blue Stone Rd, Ste 160, Sandy Springs, GA 30328",Sandy Springs,GA,30328,https://www.yelp.com/biz/springs-hair-restoration-sandy-springs-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14707699401,10.1,5.0
"David Bryant, MD","4760 Austell Rd, Ste 120, Austell, GA 30106",Austell,GA,30106,https://www.yelp.com/biz/david-bryant-md-austell?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17703899116,10.15,1.0
Warner Janice M MD,"1700 Hospital South Dr, Austell, GA 30106",Austell,GA,30106,https://www.yelp.com/biz/warner-janice-m-md-austell?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17707321137,10.28,0.0
Weisman Jamie MD,"1700 Hospital South Dr, Austell, GA 30106",Austell,GA,30106,https://www.yelp.com/biz/weisman-jamie-md-austell?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17707321137,10.28,0.0
Adams Ashley W MD,"1700 Hospital South Dr, Austell, GA 30106",Austell,GA,30106,https://www.yelp.com/biz/adams-ashley-w-md-austell?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17707321137,10.28,0.0
Kavali Plastic Surgery and Skin Renewal Center,"6045 Barfield Rd, Ste 100, Atlanta, GA 30328",Atlanta,GA,30328,https://www.yelp.com/biz/kavali-plastic-surgery-and-skin-renewal-center-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042503333,10.37,3.4
Cobb Dermatology,"1790 Mulkey Rd, Ste 1, Austell, GA 30106",Austell,GA,30106,https://www.yelp.com/biz/cobb-dermatology-austell?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709411013,10.4,0.0
Herskowitz Louis J PC,"1790 Mulkey Rd, Austell, GA 30106",Austell,GA,30106,https://www.yelp.com/biz/herskowitz-louis-j-pc-austell?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709411013,10.4,0.0
"Skin Cancer Specialists, P.C. & Aesthetic Center","1790 Mulkey Rd, Ste 1, Austell, GA 30106",Austell,GA,30106,https://www.yelp.com/biz/skin-cancer-specialists-p-c-and-aesthetic-center-austell-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709411013,10.43,3.0
"Paula Nelson, MD","755 Mt Vernon Hwy NE, Atlanta, GA 30328",Atlanta,GA,30328,https://www.yelp.com/biz/paula-nelson-md-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048510026,10.74,0.0
O’Reilly  Dermatology,"755 Mount Vernon Hwy NE, Ste 330, Atlanta, GA 30328",Atlanta,GA,30328,https://www.yelp.com/biz/o-reilly-dermatology-atlanta-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043308445,10.75,4.3
Atlanta Skin Wellness Center,"755 Mt. Vernon Highway NE, Ste 305, Atlanta, GA 30328",Atlanta,GA,30328,https://www.yelp.com/biz/atlanta-skin-wellness-center-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14044464840,10.76,0.0
Dermatology Specialists,"1462 Montreal Rd W, Ste 411, Tucker, GA 30084",Tucker,GA,30084,https://www.yelp.com/biz/dermatology-specialists-tucker?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042968000,11.27,0.0
Atlanta Dermatology & Laser Surgery - ATL DERM,"1462 Montreal Rd W, Ste 411, Montreal Medical Ctr, Atlanta, GA 30084",Atlanta,GA,30084,https://www.yelp.com/biz/atlanta-dermatology-and-laser-surgery-atl-derm-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042968000,11.28,3.3
Angie International Holistic Health Center,"3554 Covington Hwy, Decatur, GA 30032",Decatur,GA,30032,https://www.yelp.com/biz/angie-international-holistic-health-center-decatur?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042985499,11.35,4.4
Skin of Culture and Hair Center: Dr. Nikki Hill,"2296 Henderson Mill Rd, Ste 300, Atlanta, GA 30345",Atlanta,GA,30345,https://www.yelp.com/biz/skin-of-culture-and-hair-center-dr-nikki-hill-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14044742301,11.57,3.0
SOCAH Center,"2296 Henderson Mill Rd, Ste 300, Atlanta, GA 30345",Atlanta,GA,30345,https://www.yelp.com/biz/skin-of-culture-and-hair-center-nikki-hill-md-atlanta-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14044742301,11.59,3.5
Lee Michael MD,"1800 Phoenix Blvd, Atlanta, GA 30349",Atlanta,GA,30349,https://www.yelp.com/biz/lee-michael-md-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709941360,12.07,0.0
Atlanta Dermato Pathology & Pathology Assoc PC,"1800 Phoenix Blvd, Atlanta, GA 30349",Atlanta,GA,30349,https://www.yelp.com/biz/atlanta-dermato-pathology-and-pathology-assoc-pc-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709941360,12.07,0.0
Wade T R MD,"1800 Phoenix Blvd, Atlanta, GA 30349",Atlanta,GA,30349,https://www.yelp.com/biz/wade-t-r-md-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709941360,12.07,0.0
"Thomas S Steven, MD","2185 Northlake Pkwy, Tucker, GA 30084",Tucker,GA,30084,https://www.yelp.com/biz/thomas-s-steven-md-tucker?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709347200,12.29,0.0
Star Family Health Care & Wellness Center,"5337 Old National Hwy, Ste 100, Atlanta, GA 30349",Atlanta,GA,30349,https://www.yelp.com/biz/star-family-health-care-and-wellness-center-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14047677777,12.4,1.4
Dermatology Affiliates - East Cobb,"4939 Lower Roswell Rd, Ste 104A, Marietta, GA 30068",Marietta,GA,30068,https://www.yelp.com/biz/dermatology-affiliates-east-cobb-marietta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048167900,12.46,2.4
Dermatology and Surgery Specialists of North Atlanta,"4800 Olde Towne Pkwy, Ste 250, Marietta, GA 30068",Marietta,GA,30068,https://www.yelp.com/biz/dermatology-and-surgery-specialists-of-north-atlanta-marietta-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709713376,12.57,3.8
"Candance Kimbrough-Green, MD","4800 Olde Towne Pkwy, Ste 250, Dermatology Consultants, Marietta, GA 30068",Marietta,GA,30068,https://www.yelp.com/biz/candance-kimbrough-green-md-marietta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709713376,12.58,3.0
"Belinda Graham, MD -  WellStar Medical Group","3747 Roswell Rd NE, Ste 205, Marietta, GA 30062",Marietta,GA,30062,https://www.yelp.com/biz/belinda-graham-md-wellstar-medical-group-marietta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17703332027,13.1,0.0
Goodman Dermatology,"1163 Johnson Ferry Rd, Ste 250, Marietta, GA 30068",Marietta,GA,30068,https://www.yelp.com/biz/goodman-dermatology-marietta-4?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17707540796,13.11,4.8
Atlanta MediSpa and Surgery Center,"1232 Johnson Ferry Rd, Marietta, GA 30068",Marietta,GA,30068,https://www.yelp.com/biz/atlanta-medispa-and-surgery-center-marietta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16782132220,13.22,3.9
Chamblee Medical Clinic,"5953 Buford Hwy, Ste 202, Doraville, GA 30340",Doraville,GA,30340,https://www.yelp.com/biz/chamblee-medical-clinic-doraville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704580025,13.61,5.0
"Pare'anna M, MD","Marietta, GA 30062",Marietta,GA,30062,https://www.yelp.com/biz/pareanna-m-md-marietta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709713376,13.74,5.0
Kayal Dermatology & Skin Cancer Specialists,"141 Lacy St, Ste 200, Marietta, GA 30060",Marietta,GA,30060,https://www.yelp.com/biz/kayal-dermatology-and-skin-cancer-specialists-marietta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704267177,13.81,2.0
Dekalb Dermatology & Surgery,"4150 Snapfinger Woods Dr, Decatur, GA 30035",Decatur,GA,30035,https://www.yelp.com/biz/dekalb-dermatology-and-surgery-decatur?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042863178,13.92,0.0
Boutee Windell D MD,"4150 Snapfinger Woods Dr, Decatur, GA 30035",Decatur,GA,30035,https://www.yelp.com/biz/boutee-windell-d-md-decatur?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042863178,13.92,1.0
Premiére Dermatology And Surgery,"4150 Snapfinger Woods Dr, Ste 205, Decatur, GA 30035",Decatur,GA,30035,https://www.yelp.com/biz/premi%C3%A9re-dermatology-and-surgery-decatur-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042863178,13.92,0.0
Purvis Mariella B PC C,"4150 Snapfinger Woods Dr, Decatur, GA 30035",Decatur,GA,30035,https://www.yelp.com/biz/purvis-mariella-b-pc-c-decatur?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14042863178,13.92,0.0
"Skin Cancer Specialists, P.C. & Aesthetic Center","835 Cogburn Ave NW, Ste 100, Marietta, GA 30060",Marietta,GA,30060,https://www.yelp.com/biz/skin-cancer-specialists-p-c-and-aesthetic-center-marietta-4?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704225557,14.15,3.6
Marietta Dermatology & the Skin Cancer Center,"111 Marble Mill Rd NW, Marietta, GA 30060",Marietta,GA,30060,https://www.yelp.com/biz/marietta-dermatology-and-the-skin-cancer-center-marietta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704221013,14.17,2.3
"Mark A Chastain, MD - Skin Cancer Specialists","835 Cogburn Ave, Ste 100, Marietta, GA 30060",Marietta,GA,30060,https://www.yelp.com/biz/mark-a-chastain-md-skin-cancer-specialists-marietta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704225557,14.18,3.5
Skin Care Clinic,"155 Medical Way, Riverdale, GA 30274",Riverdale,GA,30274,https://www.yelp.com/biz/skin-care-clinic-riverdale?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709912088,14.82,0.0
Mujica Juan A MD,"6584 Professional Pl, Ste B, Riverdale, GA 30274",Riverdale,GA,30274,https://www.yelp.com/biz/mujica-juan-a-md-riverdale-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709911568,14.95,0.0
Pico Maria R MD,"6584 Professional Pl, Ste B, Riverdale, GA 30274",Riverdale,GA,30274,https://www.yelp.com/biz/pico-maria-r-md-riverdale-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709911568,14.95,0.0
Pereyo Neville G MD,"6584 Professional Pl, Ste B, Riverdale, GA 30274",Riverdale,GA,30274,https://www.yelp.com/biz/pereyo-neville-g-md-riverdale-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709911568,14.95,0.0
Dermatology & Skin Surgery Center PC,"6584 Professional Pl, Ste B, Riverdale, GA 30274",Riverdale,GA,30274,https://www.yelp.com/biz/dermatology-and-skin-surgery-center-pc-riverdale?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709911568,14.97,0.0
Hill Thomas G MD PC,"5071 Snapfinger Woods Dr, Decatur, GA 30035",Decatur,GA,30035,https://www.yelp.com/biz/hill-thomas-g-md-pc-decatur?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709818105,16.11,0.0
Family Dermatology of Norcross,"3965 Holcomb Bridge Rd, Ste 100, Norcross, GA 30092",Norcross,GA,30092,https://www.yelp.com/biz/family-dermatology-of-norcross-norcross?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704488563,16.24,3.0
"Edmund R Clement, MD PC","3459 Holcomb Bridge Rd, Norcross, GA 30092",Norcross,GA,30092,https://www.yelp.com/biz/edmund-r-clement-md-pc-norcross?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16.25,5.0
Cole Dermatology & Aesthetic Center,"3525 Holcomb Bridge Rd, Peachtree Corners, GA 30092",Peachtree Corners,GA,30092,https://www.yelp.com/biz/cole-dermatology-and-aesthetic-center-peachtree-corners-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16784176900,16.28,2.5
Hougeir Firas George Faad,"4645 Timber Ridge Dr, Ste 100, Douglasville, GA 30135",Douglasville,GA,30135,https://www.yelp.com/biz/hougeir-firas-george-faad-douglasville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16787023376,16.79,3.0
Hall Shelly MD,"4645 Timber Ridge Dr, Douglasville, GA 30135",Douglasville,GA,30135,https://www.yelp.com/biz/hall-shelly-md-douglasville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16788389090,16.79,0.0
Nelson Paula MD,"4645 Timber Ridge Dr, Douglasville, GA 30135",Douglasville,GA,30135,https://www.yelp.com/biz/nelson-paula-md-douglasville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16788389090,16.79,0.0
McWilliams Peter MD,"4645 Timber Ridge Dr, Douglasville, GA 30135",Douglasville,GA,30135,https://www.yelp.com/biz/mcwilliams-peter-md-douglasville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16788389090,16.79,0.0
